OP
Develop a training plan to ensure users are properly trained on the Enterprise Information Management System ; Develop a comprehensive training plan to ensure users have the necessary skills to effectively use the Enterprise Information Management System.
Establish a data control environment ; To establish the DCE the holistic execution of DM initiative is required at each operating level of the organization.
Define DM stakeholder roles & responsibilities ; All stakeholders critical to the success of the DM initiative must be identified. Roles and responsibilities must be communicated. Active engagement by critical stakeholders is operational and evidenced.
Demonstrate DM capabilities alignment across organization ; To achieve the DCE the full set of DM capabilities must be operational and applied against a data domain. It is important to understand the differences between planned and operational initiatives. Only operating capabilities contribute to the functioning DCE.
Demonstrate alignment between control function and DM policy and standards ; DM controls and best practices must be formally included in cross-organization control function policies and standards to ensure collaboration and alignment.
Monitor collaboration between DM control functions ; In order to achieve collaboration among all the control functions that have requirements for data or DM a structure of regular interaction is required.
Apply controls to data entering/exiting the ecosystem ; All new data introduced into or delivered out of the data ecosystem must be subject to cross-organization control standards to ensure organization-wide compliance.
"Define analytics strategy and approach ; The Analytics strategy must be defined and formally empowered by senior management, and the role of the Analytics function must be communicated to stakeholders"
Define analytics operating model ; An operating model is defined to describe how Analytics will be structured within the organization. It establishes the scope and coverage of the different parts of Analytics and designs how they should work together to serve the needs of the business.
Establish an analytics funding model ; The Analytics funding model addresses the resources required for stakeholders to implement and sustain the Analytics function. The funding model aligns with the organization-wide funding process. It is enforced through the Analytics governance process.
"Define analytics categorization and use-cases terminology ; The spectrum of analytics (e.g., MI (Management Information), BI (Business Intelligence), ML, or Descriptive, Diagnostic, Predictive, Prescriptive) employed by the organization is defined. Names and descriptions of the different types of analytics relevant to the organization are formalized in a categorization system. This system is used in statements of the scope of responsibility in the Analytics operating model. It provides a common language for the organization to refer to analytics and helps avoid confusion and misunderstanding."
"Identification of dependencies between analytics and business architecture ; Each organization adopts a unique business architecture. This architecture defines its structure, governance, processes, and information for decision making. The business architecture of the organization should inform the organizations’ analytical requirements. Those accountable for delivering analytics solutions are also accountable for engaging the business stakeholders, understanding the impact of business requirements on analytics, aligning analytical requirements, and ensuring that these requirements are delivered."
Align the Analytics roadmap with the business strategy ; The business strategy drives the Analytics roadmap and activities. This fact keeps the focus on Analytics investments and how they can maximize business outcomes.
Measure and report analytics initiative impact ; The objective of Analytics is to provide insights that are used to deliver outcomes of business value. The organization must routinely measure the impact and effectiveness of their analytics solutions.
"Design platform suitable for Analytics operating model ; The analytics platform is a combination of tools, applications, and infrastructure that enables analytics to be created and executed in an organization. It must have the necessary capabilities to support the way that Analytics teams are structured and operate, and the way they engage with the business and stakeholders. It must enable Analytics to develop, test, govern, socialize, maintain, and mature analytical models. The platform must be flexible enough to allow a variety of individuals to interact appropriately with the system. These interactions must implement any required segregation of duties and the ability to set access rights to different users of the system. Beyond the Analytics teams, business users will need to validate and utilize the results of the analytics models."
Establish an analytics version control regime ; There must be controlled management of change to models developed within the analytics platform and a documented process for recording the changes. Effective governance and change control of the models must be in place and must be auditable.
"Define and implement data obfuscation strategies ; Data obfuscation strategies can help to ensure that data used during the development phases of models comply with the appropriate regulatory regimes governing the organization and best practices regarding data privacy. Data obfuscation also applies to commercially sensitive confidential data, such as company results before their release. The obfuscation capability is important for non-production testing environments and, in some cases, can also be relevant to production environments. Where external professional testers have access to test environments, non-production environments must store the minimum amount of personally identifiable or commercially sensitive information."
"Define environment scalability requirements ; Business requirements change rapidly. The analytics model environment must have the flexibility to cope with new data without requiring significant redesign. The model environment needs to be able to provide an increase in data computing power requirements to address forecasted business growth and the growing sophistication of models. The costs of computational power need to be tracked. There must be an understanding of how additional requirements could be accommodated, and potential costs must be estimated in advance."
Establish quality requirements for automated model development processes ; Definition of quality requirements and criteria for the various processes involved in autmated model development
Establish a statement of purpose for model development ; Defining and establishing a statement of purpose detailing the context and intended purpose/use of the system to be developed
"Establish experiment tracking and documentation processes ; Definition of guidelines, procedures and/or processes to properly and consistently record and document experimentations performed on the model"
"Document model design, theory and logic ; "
"Document model methodologies and processing components ; Recording and documenting the various aspects covering the model's design, theory, and logic"
Conduct an assessment of potential impact to the planet ; Assessing and documenting the potential impacts to planet that could be caused by the project
Record and track experimentation results ; Recording and documenting the results and outcomes of experimentations performed on the model
Compare model development with alternative theories ; 
Demonstrate sound model development ; 
"Define appropriate data sampling techniques ; Establishing and defining appropriate data sampling techniques, as per the context of the project"
"Establish representative sample data population ; Establishing a representative sample dataset based on the project requirements gathered from the project sponsor, and other stakeholders"
Validate data sample representativeness ; Getting the approval and validation of the stakeholders on the representativeness and adequacy of the sample data population
Identify target data population characteristics ; Analysing the data set and extracting the various characteristics that
Validate target data population characteristics ; Getting the approval and validation of the stakeholders on the suitability and exactness of the extracted characteristics of the sample data population
Define criteria for assessing the adequacy of data representation ; Establishing criteria and standards to evaluate how accurately the data reflects the characteristics and dynamics of a particular domain. This involves a comprehensive and reliable understanding of the data's representativeness within the context of a defined subject area
"Establish standardized benchmarks or standards for representativeness ; Creating a consistent framework for evaluating the adequacy and accuracy of data representations, providing clear reference points, target values and benchmarks"
Implement processes for assessing data representativeness ; Establishing procedures and processes to evaluate the adequacy and accuracy of data in order to ensure that it represents comprehensively and accurately the underlying information and domain
"Report on the results of data representativeness assessments to relevant stakeholders ; Communicating the findings from data representativeness assessments to pertinent stakeholders, providing a transparent and comprehensive account of the quality and reliability of the data"
"Implement corrective actions for addressing gaps in data representativeness ; Executing measures to address and rectify deficiencies identified in the representativeness of data, ensuring that any gaps or inaccuracies are systematically addressed to enhance the overall quality and reliability of the dataset"
"Record the results of data representativeness assessments ; Documenting the outcomes of assessments conducted on data representativeness, creating a comprehensive and organized record that serves as a transparent reference for evaluating the quality and reliability of the dataset"
"Document ""In the lab"" model testing requirements ; Establishing and listing a set of testing requirements the AI system should go through in order to validate its performance prior to its release"
"Assess ""In the Field"" testing requirements ; Establishing and listing a set of testing requirements the AI system should go through, while in deployment, in order to monitor and ensure the constancy and validity of its performance"
"Define ""In the Lab"" model testing procedures ; Definition of the different types and procedures of model testing to be conducted, while the model is still in development, as well as the documentation required following the execution of such testing"
"Define ""In the Field"" model testing procedures ; Definition of the different types and procedures of model testing to be conducted, while the model is in production, as well as the documentation required following the execution of such testing"
"Assess model accuracy ; Evaluating and assessing the model's accuracy, ensuring that achieved levels are acceptable for the context of the project"
Evaluate the integration testing of the model ; Performing integration testing of the model within the technological envrionment and evaluation of the results
"Evaluate challenger models prior to deployment ; Evaluating the perfromance of challenger models, which are destined to replace current model in production, and comapring their results to current model, validating that they are in fact a good replacement"
Document type / purpose of test ; Documenting the type/purpose of the test: why it is being conducted and/or what hypothesis/assumptions it is aiming to validate
"Document datasets used for modeling and testing ; Documenting the data sets used for modeling and testing, including the data selection, data cleaning, feature engineering, as well as any other tasks that were performed on the data"
"Document datasets used for ""In the Field"" testing ; Documenting the data sets used for testing deployed models that are in production"
Document model parameters ; Documenting the model’s parameters and hyperparameters as well as any hyperparameters selection or optimization procedures
"Document testing conditions ; Documenting the conditions under which testing was conducted, such as CPU/GPU, memory, network bandwidth, software/library versions, etc."
"Document model dependencies ; Recording and documenting the dependencies of the model on external systems, libraries, and other factors"
Evaluate the model behavior over various conditions ; 
"Assess the impacts of model assumptions ; Evaluating and assessing the impact of various assumptions, used during model development, on its performance"
"Evaluate the model impacts on other models ; Evaluation of the impact of model outcomes and performance on other models which rely on those results as inputs, as part of model testing"
Evaluate the impact of model changes/updates on other models ; Evaluation of the impact of tuning or updates to the model in production on other models which are dependant on its output and outcomes
Assess model performance by model users ; Testing and evaluating the performance of the model by end-users to ensure proper performance levels are achieved
Examine UI/UX for deceptive design patterns ; The UI/UX is examined for the existance of decveptive design patterns
"Conduct a user evaluation of the UI/UX ; User evaluation of the UI/UX of the developed system and feedback is collected, analysed and communicated to intended stakeholders"
Assess AI system performance ; Evaluating and assessing the performance of the AI system prior to deployment as well as after model tuning or the integration of new components
Evaluate and document testing outcomes ; Analysing and evaluating the results of model testing as well as documenting the outcome
Demonstrate model robustness and stability ; Undergoing various robustsness testing and evaluation to demonstrate model robustness
Define features to incorporate in AI models ; 
Establish model report guidelines ; 
Assess model uncertainty and inaccuracy ; Evaluating and assessing the uncertainty levels (or alternatively the confidence levels) of the model's outputs
Define measures to account for model uncertainty and inaccuracy ; Establishing and defining how model uncertainty and inaccuracy will be accounted for during model development
Monitor and enforce measures that account for model uncertainty and inaccuracy ; Establishing and defining how model uncertainty and inaccuracy will be addressed in production
Adjust model components to reduce uncertainty and inaccuracy ; 
"Establish model deployment structure ; Definition of a formal structure to support model deployment, including the technical, organisational, and procedural aspects"
"Establish model deployment strategy ; Definition of a formal strategy for model deployment, including the deployment methodology, monitoring and performance"
"Establish model monitoring strategy and processes ; Definition of a formal strategy and associated processes and mechanisms to monitor models in deployment, including the technical, organisational, and procedural aspects"
"Validate complete model deployment ; Definition of criteria and requirements to establish that the new model deployment is complete, the monitoring phase has started and that, when applicable, the old model has been retired"
Define the model conservatism ; 
Document conservative model procedures ; 
"Establish limits on model usage ; Evaluating, establishing and documenting necessary limitations on model usage, as per the context of the project"
Train model users for conservatism ; 
Demonstrate model conservatism ; 
"Define model validation process ; Establishing and defining guidelines, processes and/or procedures for model validation, adequate to the context of the project"
Assign roles & responsibilities for model validation ; 
Train personnel for model validation ; 
Establish incentives for model validation ; 
"Identify model components requiring validation ; Evaluating, establishing and documenting the various model components that require validation prior to model deployment"
Establish periodic model review ; Defining and establishing a review schedule for the model after its deployment
"Review model validation by independent party ; Model validation processes and outcomes are critically reviewed and validated by an independent party (external to the project), to ensure their soudness and validity"
Record model validation ; Recording and documenting the results and outcomes of model validation
Establish data requirements for fairness testing ; Establishing and defining requirements for the data used in testing the fairness of the AI system
Define data requirements for robustness testing ; Establishing and defining requirements for the data used in testing the robustness of the AI system
Establish exploratory data analysis processes / requirements ; Definition of processes and requirements for exploring and understanding the data using various statistics and data visualisations
"Document data analysis methods ; Recording and detailing the methods and techniques used for analyzing data, providing a clear and comprehensive record of the procedures employed in data analysis"
Document model's limitations ; Identifying and documenting various factors and considerations that would limit the model’s usage
"Assess model scalability and/or technical requirements ; Identifying and determining the requirements (such as CPU/GPU, memory, network bandwidth, disk space, etc.) for the model to scale and remain functional"
Establish required AI literacy level ; Determining and establishing the minimum level of AI literacy the end-users need to have to properly use and interact with the AI system
Determine ethical considerations that limit model usage ; Identifying and establishing contexts that would limit/prohibit the use of the AI system for ethical or fairness considerations
Determine business considerations that limit model usage ; Identifying and establishing contexts that would limit/prohibit the use of the AI system for business and/or financial considerations
"Determine model transparency and explainability capabilities ; Determining and establishing the level of transparency of the model, how easily can one understand how a decision/outcome was reached,"
"Assess model limitations ; Identifying, evaluating and documenting the potential model limitations"
"Identify model performance boundaries ; Evaluating, identifying and documenting the model's performance boundaries, which can limit its application and use"
"Establish model security requirements ; As a result of the security risk assessment of the AI system, establishing suitable security requirements, as per the context of the project"
Evaluate the model developmental evidence ; 
"Assess model assumptions and variable choice ; Evaluating and assessing the impact of various assumptions and variable choices, used during model development, on its performance"
"Assess data used in model development ; Evaluating and assessing the quality of the data used to build/train the model, and its relevance/pertinence to the context of the project"
Evaluate the logic and judgment used in model development ; 
Analyze model sensitivity ; Perfroming a Sensitivity Analysis on the model and documenting the results
Conduct model stress testing ; 
Establish model lifecycle's monitoring strategy ; Identifying and documenting monitoring control points and well as informing and training responsible stakeholders
Establish requirements and processes appropriate to the context of the project monitoring ; Determine the adequate monitoring requirements and necessary control points for the context of the project
Establish monitoring and control points for the Model Development/Testing processes ; Determine adequate monitoring requirements and necessary control points to verify that the Model Development/Testing processes are properly implemented and documented
Establish monitoring and control points for the Model Validation/Selection processes ; Determine adequate monitoring requirements and necessary control points to verify that the Model Validation/Selection processes are properly implemented and documented
Establish monitoring and control points for the Model Risk Assessment processes ; Determine adequate monitoring requirements and necessary control points to verify that the Model Risk Assessment processes are properly implemented and documented
Establish monitoring and control points for data quality assurance and data selection processes ; Determine adequate monitoring requirements and necessary control points to verify that the data quality assurance and data selection processes are properly implemented and documented
Establish monitoring and control points for performance assessment of the model in production ; Determine adequate monitoring requirements and necessary control points for the assessment of model performance in production
Establish ongoing testing & evaluation program ; 
Define ongoing monitoring practices ; Defining the practices that will be implemented to continually monitor the AI model
Define response procedures for model problems ; Establishing and defining procedures to efficiently handle and mitigate any models issues or problems
Assess model limitations periodically ; 
Analyze model overrides periodically ; 
Track model override performance ; 
"Integrate logging capabilities into the AI system ; Implementing and integrating, whithin the AI system, adequate logging capabilities to ensure a level of traceability adequate to the context of the project"
Escalate model revision needs ; 
Document corrective actions taken ; 
Audit data and model inputs ; Auditing and reviewing how data and other inputs are applied throughout the model lifecycle
Conduct model process verification ; 
Verify data inputs quality ; 
Verify model computer code ; 
Verify system integration ; 
Verify user-developed applications ; 
Review model-derived reports ; 
Define model benchmarking data ; 
"Model benchmarking ; Measuring and analyzing model perfromance against an established set of defined standards, models or benchmarks"
Analyze benchmarking results ; 
Investigate benchmarking discrepancies ; 
"Conduct outcomes analysis ; Analysing and validating the the outcomes of AI system, prior to deployment"
"Define outcomes analysis techniques ; Establishing and defining the various outcome analysis techniques to be performed on the model, as per the context of the project"
"Define outcomes analysis metrics ; Establishing and defining the various outcome analysis used to evaluate the model, as per the context of the project"
Establish early warning metrics for outcomes analysis ; 
Define escalation procedures for model deficiencies ; Establishing and defining processes and procedure for escalating model deficiencies to the appropriate stakeholders
Document escalated model deficiencies ; Recording and documenting escalated model deficiencies as per the established procedures
Conduct parallel outcomes analysis ; 
Identify necessary model changes ; Identifying and documenting necessary changes to the model to resolve and address perfromance issues
Conduct model back-testing ; 
"Analyze model discrepancies ; Investigating, analysing and documenting the causes of discrepencies in model performance and outcomes"
"Define procedures to determine and specify decision control points ; Definition of guidelines, procedures and/or processes to determine and implement adequate decision control points to properly supervise, manage and/or approve AI systems decisions"
"Define decision control points appropriate to the context of the project ; Define adequate decision control points to properly supervise, manage and/or approve AI systems decisions"
Validate decision control points ; Approval and validation of suitability and completeness (as per the context of the project) of the defined decision control points
"Implement the decision control points ; Implement the decision control points to properly supervise, manage and/or approve AI systems decisions and provide appropriate training for stakeholders"
Define procedures to document automated model decisions ; 
Document decisions rendered by automated systems ; Decisions rendered by the automated decision system are recorded and documented and clearly marked as automated decisions
Disclose the level of Functional Correctness along with decision ; Provide additional disclosure of the known level of Functional Correctness along with Automated decision
Monitor and validate appropriateness of AI system's decisions and/or outputs ; Monitoring and testing the AI system's output for inappropriate and/or toxic outputs
"Audit the AI system’s decisions and/or outputs periodically ; Periodically audit and review the AI system’s decisions, recommendation, predictions, explanations, or outputs to detect and identify any anomalies or issues"
Audit decision control points periodically ; Periodically audit and review the performance and implementation of the decision control points
"Implement process for documenting decisions by automated systems ; Establishing and executing a systematic approach to document decisions made by automated systems, ensuring a comprehensive record-keeping process that captures the rationale, parameters, and outcomes of automated decision-making"
"Monitor compliance to documentation requirements ; Overseeing adherence to documentation standards and specifications, ensuring that records and materials meet prescribed requirements and established guidelines"
Define Model Metadata Practice ; 
Define and approve PL attribute for Ms attestation ; 
Document the design and functionality of the AI system ; Recording and documenting the various aspects covering the systems components and functionality
"Produce model factsheets and model cards ; Developing and creating Model Factsheets and Model Cards, personalized and adapted to their intended audiences"
Approve the model before production ; Review and aproval of model quality and performance prior to deployment
